Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Jiang J.; Zhang C.,"Jiang, Jiuchun (57193360422); Zhang, Caiping (55986072000)",57193360422; 55986072000,Fundamentals and application of lithium-ion batteries in electric drive vehicles,2015,Fundamentals and Application of Lithium-ion Batteries in Electric Drive Vehicles,,,,1,280,279,127,10.1002/9781118414798,https://www.scopus.com/pages/publications/85015215554?origin=resultslist,"A theoretical and technical guide to the electric vehicle lithium-ion battery management system Covers the timely topic of battery management systems for lithium batteries. After introducing the problem and basic background theory, it discusses battery modeling and state estimation. In addition to theoretical modeling it also contains practical information on charging and discharging control technology, cell equalisation and application to electric vehicles, and a discussion of the key technologies and research methods of the lithium-ion power battery management system. The author systematically expounds the theory knowledge included in the lithium-ion battery management systems and its practical application in electric vehicles, describing the theoretical connotation and practical application of the battery management systems. Selected graphics in the book are directly derived from the real vehicle tests. Through comparative analysis of the different system structures and different graphic symbols, related concepts are clear and the understanding of the battery management systems is enhanced. Contents include: key technologies and the difficulty point of vehicle power battery management system; lithium-ion battery performance modeling and simulation; the estimation theory and methods of the lithium-ion battery state of charge, state of energy, state of health and peak power; lithium-ion battery charge and discharge control technology; consistent evaluation and equalization techniques of the battery pack; battery management system design and application in electric vehicles. A theoretical and technical guide to the electric vehicle lithium-ion battery management system Using simulation technology, schematic diagrams and case studies, the basic concepts are described clearly and offer detailed analysis of battery charge and discharge control principles Equips the reader with the understanding and concept of the power battery, providing a clear cognition of the application and management of lithium ion batteries in electric vehicles Arms audiences with lots of case studies Essential reading for Researchers and professionals working in energy technologies, utility planners and system engineers. © 2015 John Wiley & Sons Singapore Pte. Ltd. All rights reserved.",,Charging (batteries); Electric discharges; Electric drives; Electric power system control; Electric vehicles; Energy management systems; Equalizers; Information management; Ions; Lithium-ion batteries; Schematic diagrams; Battery charge and discharge; Charging and discharging controls; Comparative analysis; Electric-drive vehicles; Equalization techniques; Lithium-ion power batteries; Simulation technologies; Theoretical modeling; Battery management systems,Book,Final,,Scopus,2-s2.0-85015215554

Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Wang K.-X.; Li X.-H.; Chen J.-S.,"Wang, Kai-Xue (8885710400); Li, Xin-Hao (38761814100); Chen, Jie-Sheng (7501883208)",8885710400; 38761814100; 7501883208,Surface and interface engineering of electrode materials for lithium-ion batteries,2015,Advanced Materials,27,3,,527,545,18,508,10.1002/adma.201402962,https://www.scopus.com/pages/publications/84920940030?origin=resultslist,"Lithium-ion batteries are regarded as promising energy storage devices for next-generation electric and hybrid electric vehicles. In order to meet the demands of electric vehicles, considerable efforts have been devoted to the development of advanced electrode materials for lithium-ion batteries with high energy and power densities. Although significant progress has been recently made in the development of novel electrode materials, some critical issues comprising low electronic conductivity, low ionic diffusion efficiency, and large structural variation have to be addressed before the practical application of these materials. Surface and interface engineering is essential to improve the electrochemical performance of electrode materials for lithium-ion batteries. This article reviews the recent progress in surface and interface engineering of electrode materials including the increase in contact interface by decreasing the particle size or introducing porous or hierarchical structures and surface modification or functionalization by metal nanoparticles, metal oxides, carbon materials, polymers, and other ionic and electronic conductive species. © 2014 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim.",,Conductive materials; Electric batteries; Electric vehicles; Electrochemical electrodes; Electrodes; Hybrid vehicles; Interfaces (materials); Ions; Lithium; Lithium alloys; Lithium compounds; Lithium-ion batteries; Metal nanoparticles; Particle size; Secondary batteries; Advanced electrodes; Electrochemical performance; Electrode material; Electronic conductivity; Functionalizations; Hierarchical structures; Structural variations; Surface and interfaces; Lithium batteries,Article,Final,,Scopus,2-s2.0-84920940030

Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Lv C.; Zhou X.; Zhong L.; Yan C.; Srinivasan M.; Seh Z.W.; Liu C.; Pan H.; Li S.; Wen Y.; Yan Q.,"Lv, Chade (55840689500); Zhou, Xin (57211683348); Zhong, Lixiang (57207197057); Yan, Chunshuang (55273004000); Srinivasan, Madhavi (6603576323); Seh, Zhi Wei (53264841800); Liu, Chuntai (8319000700); Pan, Hongge (55641461800); Li, Shuzhou (13907078900); Wen, Yonggang (7401777066); Yan, Qingyu (8917986400)",55840689500; 57211683348; 57207197057; 55273004000; 6603576323; 53264841800; 8319000700; 55641461800; 13907078900; 7401777066; 8917986400,Machine Learning: An Advanced Platform for Materials Development and State Prediction in Lithium-Ion Batteries,2022,Advanced Materials,34,25,2101474,,,,352,10.1002/adma.202101474,https://www.scopus.com/pages/publications/85114301987?origin=resultslist,"Lithium-ion batteries (LIBs) are vital energy-storage devices in modern society. However, the performance and cost are still not satisfactory in terms of energy density, power density, cycle life, safety, etc. To further improve the performance of batteries, traditional “trial-and-error” processes require a vast number of tedious experiments. Computational chemistry and artificial intelligence (AI) can significantly accelerate the research and development of novel battery systems. Herein, a heterogeneous category of AI technology for predicting and discovering battery materials and estimating the state of the battery system is reviewed. Successful examples, the challenges of deploying AI in real-world scenarios, and an integrated framework are analyzed and outlined. The state-of-the-art research about the applications of ML in the property prediction and battery discovery, including electrolyte and electrode materials, are further summarized. Meanwhile, the prediction of battery states is also provided. Finally, various existing challenges and the framework to tackle the challenges on the further development of machine learning for rechargeable LIBs are proposed. © 2021 Wiley-VCH GmbH.",lithium-ion batteries; machine learning; materials discovery and prediction; state prediction,Computational chemistry; Electrolytes; Energy storage; Forecasting; Machine learning; Predictive analytics; Battery materials; Electrode material; Integrated frameworks; Materials development; Property predictions; Real-world scenario; Rechargeable libs; Research and development; Lithium-ion batteries,Review,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85114301987

Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
